property_hash,city,district,type,sqft,bedrooms,year_built,assessed_value,market_estimate,price_per_sqft,days_on_market,sold_date
p_a8f3c2,austin,downtown,condo,1250,2,2019,385000,412000,329.60,18,2026-02-28
p_b7e4d3,austin,east_side,house,2100,3,2005,520000,548000,260.95,32,2026-02-15
p_c6d5e4,denver,lodo,condo,980,1,2021,345000,362000,369.39,12,2026-03-05
p_d5c6f5,denver,highlands,house,1850,3,2012,615000,642000,346.92,24,2026-02-20
p_e4b7a6,miami,brickell,condo,1100,2,2020,425000,451000,410.00,15,2026-03-02
p_f3a8b7,miami,wynwood,house,1600,2,2008,480000,512000,320.00,28,2026-02-18
p_a2b9c8,nashville,gulch,condo,1350,2,2022,398000,418000,309.63,9,2026-03-08
p_b1c0d9,nashville,east_nash,house,2400,4,2003,545000,578000,240.83,41,2026-01-30
p_c0d1e0,portland,pearl,condo,1050,1,2018,365000,382000,363.81,14,2026-03-04
p_d9e2f1,portland,alberta,house,1900,3,2010,498000,525000,276.32,22,2026-02-22
p_e8f3a2,austin,south_congress,condo,1400,2,2023,445000,472000,337.14,8,2026-03-10
p_f7a4b3,denver,rino,house,1700,2,2015,535000,562000,330.59,19,2026-02-25
p_a6b5c4,miami,coconut_grove,house,2800,4,2001,890000,945000,337.50,35,2026-02-10
p_b5c6d5,nashville,12_south,condo,1200,2,2020,375000,398000,331.67,11,2026-03-06
p_c4d7e6,portland,hawthorne,house,2200,3,2007,512000,540000,245.45,27,2026-02-16
p_d3e8f7,austin,mueller,house,1950,3,2017,575000,605000,310.26,16,2026-03-01
p_e2f9a8,denver,cap_hill,condo,850,1,2019,298000,315000,370.59,10,2026-03-07
p_f1a0b9,miami,design_district,condo,1500,2,2022,520000,555000,370.00,7,2026-03-09
p_a0b1c0,nashville,germantown,house,2100,3,2014,498000,528000,251.43,21,2026-02-24
p_b9c2d1,portland,division,condo,1100,1,2021,342000,358000,325.45,13,2026-03-03
p_c8d3e2,austin,domain,condo,1300,2,2024,410000,438000,336.92,6,2026-03-11
p_d7e4f3,denver,wash_park,house,2500,4,2009,725000,768000,307.20,30,2026-02-12
p_e6f5a4,miami,edgewater,condo,1250,2,2021,465000,492000,393.60,11,2026-03-05
p_f5a6b5,nashville,west_end,house,1800,3,2016,485000,515000,286.11,25,2026-02-19
p_a4b7c6,portland,sellwood,house,2000,3,2011,478000,505000,252.50,20,2026-02-23
