shipment_hash,origin_port,destination_port,carrier,container_type,weight_kg,transit_days,cost_usd,delay_hours,status,commodity_code
s_a8f3,shanghai,los_angeles,maersk,40ft_std,24500,14,4850,0,delivered,8471
s_b7e4,rotterdam,new_york,msc,20ft_std,12800,12,3200,8,delivered,6204
s_c6d5,singapore,hamburg,cosco,40ft_reefer,18900,22,7200,0,delivered,0802
s_d5c6,shenzhen,long_beach,evergreen,40ft_std,26200,15,5100,24,delayed,8542
s_e4b7,busan,rotterdam,hapag_lloyd,20ft_std,11500,28,4800,0,delivered,3904
s_f3a8,shanghai,savannah,one,40ft_std,23800,18,4600,12,delivered,9403
s_a2b9,yokohama,los_angeles,cosco,40ft_reefer,19200,11,6800,0,delivered,0304
s_b1c0,rotterdam,singapore,maersk,20ft_std,14200,20,3900,0,in_transit,2933
s_c0d1,hamburg,shanghai,msc,40ft_std,22100,26,5400,36,delayed,8471
s_d9e2,singapore,felixstowe,evergreen,40ft_std,25800,24,5200,0,delivered,6110
s_e8f3,shenzhen,rotterdam,hapag_lloyd,40ft_reefer,17600,28,7800,0,in_transit,0201
s_f7a4,busan,long_beach,one,20ft_std,13400,13,3400,6,delivered,3926
s_a6b5,shanghai,hamburg,cosco,40ft_std,27100,22,5600,0,delivered,8473
s_b5c6,rotterdam,busan,maersk,40ft_std,21500,30,5100,48,delayed,7204
s_c4d7,singapore,los_angeles,msc,20ft_std,15800,16,4200,0,delivered,4011
s_d3e8,yokohama,rotterdam,evergreen,40ft_reefer,18400,32,8100,0,in_transit,0803
s_e2f9,shenzhen,savannah,hapag_lloyd,40ft_std,24900,19,4900,0,delivered,9506
s_f1a0,hamburg,singapore,one,20ft_std,12100,21,3700,12,delivered,5407
s_a0b1,shanghai,felixstowe,cosco,40ft_std,26800,25,5300,0,delivered,8541
s_b9c2,busan,new_york,maersk,40ft_std,23200,17,4700,0,in_transit,6203
s_c8d3,rotterdam,long_beach,msc,20ft_std,14700,14,3600,0,delivered,3901
s_d7e4,singapore,hamburg,evergreen,40ft_reefer,19800,23,7500,24,delayed,0402
s_e6f5,shenzhen,los_angeles,hapag_lloyd,40ft_std,25400,15,5000,0,delivered,8472
s_f5a6,yokohama,savannah,one,20ft_std,11900,20,3800,0,delivered,4819
s_a4b7,shanghai,rotterdam,cosco,40ft_std,28300,24,5800,0,in_transit,7108
